year,best,worst
2023,79,109
2022,76,105
2021,78,105
2020,78,103
2019,76,102
2018,78,106
2017,79,102
2016,77,103
2015,73,107
2014,75,105
2013,69,102
2012,76,104
2011,72,105
2010,73,110
2009,73,109
2008,71,108
2007,76,110
2006,74,107
2005,77,109
2004,74,108
2003,75,112
